city_id,name,address,latitude,longitude,safety_score,phone,description
a26978da-4f18-42e6-8949-624d108b6c24,西双版纳云投喜来登大酒店,云投路1号嘎洒镇,100.755223,21.950782,4.7,0691-8991111,该酒店存在服务响应慢及卫生方面的投诉，但未直接提及深夜安保问题或陌生人尾随、半夜敲门的情况。
a26978da-4f18-42e6-8949-624d108b6c24,西双版纳俊豪温德姆酒店,清泉路俊仕苑9幢,100.779666,22.021058,4.7,0691-2158888;19108811888,西双版纳俊豪温德姆酒店存在设计上的安全隐患，且对于住客受伤事件处理流程不够透明。
a26978da-4f18-42e6-8949-624d108b6c24,西双版纳稷泽万达文华度假酒店,迎宾路99号,100.765975,22.025358,4.7,0691-8937777,该酒店整体安全状况良好，但存在部分客人对前台管理和门口接待服务质量的不满。
a26978da-4f18-42e6-8949-624d108b6c24,西双版纳悦莲庄菠萝度假酒店,告庄西双景岱寨F13栋,100.814355,22.007932,4.7,0691-6622666,西双版纳悦莲庄菠萝度假酒店整体安全性较高，但存在少量关于深夜安全和前台管理的负面反馈。
a26978da-4f18-42e6-8949-624d108b6c24,汉庭酒店(西双版纳景洪曼听御花园店),猛勒大道88号,100.800534,21.99342,4.8,0691-8988889,该酒店在住宿体验上存在一些问题，但没有直接证据表明有严重的安全风险。
a26978da-4f18-42e6-8949-624d108b6c24,全季酒店(西双版纳景洪告庄星光夜市店),江北曼斗村居民小组61号,100.813137,22.010182,4.8,0691-6623999;18669188979,基于现有信息，未发现关于深夜周边安保、前台管理不严谨以及陌生人尾随或半夜敲门的具体负面评价。
a26978da-4f18-42e6-8949-624d108b6c24,西双版纳景洪温德姆度假酒店,嘎洒雅居乐,100.713705,21.924164,4.5,0691-2269999;0691-2750777,酒店存在一定的安全风险，尤其是关于深夜周边的安保措施和前台处理问题的方式。
a26978da-4f18-42e6-8949-624d108b6c24,西双版纳福朋喜来登酒店,清泉路22号俊仕苑9幢2单元,100.778666,22.020752,4.5,0691-6729999,该酒店存在一定的安全和服务管理问题，尤其是关于房间清洁度和部分设施的维护情况不佳，但未直接提及深夜周边安保或陌生人尾随等严重安全隐患。
a26978da-4f18-42e6-8949-624d108b6c24,维也纳国际酒店(告庄星光夜市店),勐罕路5号,100.835463,22.000906,4.8,"0691-2729888;0691-2729888,0",基于现有信息，维也纳国际酒店(告庄星光夜市店)在深夜周边安保及前台管理方面表现良好，未发现陌生人尾随或半夜敲门等安全问题的报告。
a26978da-4f18-42e6-8949-624d108b6c24,维也纳酒店(西双版纳景洪市泼水广场店),曼听路曼景兰村71号,100.803176,21.999807,4.7,0691-2779999;19969173336,该酒店存在一定的住宿体验问题，但未发现直接关于深夜安保或前台管理不严谨的重大安全隐患报告。
